"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-01","71","51","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-02","67","42","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-03","66","41","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-04","66","41","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-05","70","40","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-06","69","40","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-07","60","38","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-08","65","33","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-09","71","41","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-10","70","49","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-11","67","37","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-12","61","37","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-13","66","37","47"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-14","71","39","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-15","76","40","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-16","90","42","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-17","80","51","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-18","83","48","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-19","69","55","65"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-20","75","53","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-21","75","44","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-22","75","46","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-23","69","48","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-24","67","46","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-25","57","44","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-26","60","40","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-27","60","46","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-28","71","44","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-29","71","51","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-30","68","41","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-31","68","40","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-01","73","51","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-02","74","43","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-03","76","44","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-04","72","56","61"
