"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","2021-01-01",,"44","40"
"USW00025333","SITKA AIRPORT, AK US","2021-01-02",,"44","35"
"USW00025333","SITKA AIRPORT, AK US","2021-01-03",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","2021-01-04",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","2021-01-05",,"45","40"
"USW00025333","SITKA AIRPORT, AK US","2021-01-06",,"44","39"
"USW00025333","SITKA AIRPORT, AK US","2021-01-07",,"48","42"
"USW00025333","SITKA AIRPORT, AK US","2021-01-08",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","2021-01-09",,"46","38"
"USW00025333","SITKA AIRPORT, AK US","2021-01-10",,"46","41"
"USW00025333","SITKA AIRPORT, AK US","2021-01-11",,"44","38"
"USW00025333","SITKA AIRPORT, AK US","2021-01-12",,"44","34"
"USW00025333","SITKA AIRPORT, AK US","2021-01-13",,"39","34"
"USW00025333","SITKA AIRPORT, AK US","2021-01-14",,"47","37"
"USW00025333","SITKA AIRPORT, AK US","2021-01-15",,"48","41"
"USW00025333","SITKA AIRPORT, AK US","2021-01-16",,"47","42"
"USW00025333","SITKA AIRPORT, AK US","2021-01-17",,"46","39"
"USW00025333","SITKA AIRPORT, AK US","2021-01-18",,"48","41"
"USW00025333","SITKA AIRPORT, AK US","2021-01-19",,"42","36"
"USW00025333","SITKA AIRPORT, AK US","2021-01-20",,"38","36"
"USW00025333","SITKA AIRPORT, AK US","2021-01-21",,"41","34"
"USW00025333","SITKA AIRPORT, AK US","2021-01-22",,"40","34"
"USW00025333","SITKA AIRPORT, AK US","2021-01-23",,"38","35"
"USW00025333","SITKA AIRPORT, AK US","2021-01-24",,"39","30"
"USW00025333","SITKA AIRPORT, AK US","2021-01-25",,"37","28"
"USW00025333","SITKA AIRPORT, AK US","2021-01-26",,"36","24"
"USW00025333","SITKA AIRPORT, AK US","2021-01-27",,"30","23"
"USW00025333","SITKA AIRPORT, AK US","2021-01-28",,"36","22"
"USW00025333","SITKA AIRPORT, AK US","2021-01-29",,"40","33"
"USW00025333","SITKA AIRPORT, AK US","2021-01-30",,"42","33"
"USW00025333","SITKA AIRPORT, AK US","2021-01-31",,"43","29"
"USW00025333","SITKA AIRPORT, AK US","2021-02-01",,"38","31"
"USW00025333","SITKA AIRPORT, AK US","2021-02-02",,"38","29"
"USW00025333","SITKA AIRPORT, AK US","2021-02-03",,"40","33"
"USW00025333","SITKA AIRPORT, AK US","2021-02-04",,"39","34"
